time_period,time_identifier,geographic_level,country_code,country_name,version,school_characteristic,breakdown,characteristic_gender,characteristic_ethnic_major,characteristic_ethnic_minor,characteristic_free_school_meals,Characteristic_sen_status,Characteristic_primary_need,Characteristic_all_primary_need,characteristic_sen_description,characteristic_disadvantage,characteristic_first_language,characteristic_admission_type,characteristic_religious_denomination,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_CI_low,p8score_CI_upp
201920,Academic year,National,E92000001,England,Revised,Academies and free schools,Ethnic major,Girls,CHINESE,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,480,757,53584.64,70.8,756,99.9,644,85.1,720,95.1,557,73.6,452,59.7,514,67.9,5056.52,6.68,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,Academies and free schools,SEN description,Total,Total,Total,Total,Total,Total,Total,No identified SEN,Total,Total,Total,Total,2441,362887,19532630.69,53.8,360694,99.4,204116,56.2,283661,78.2,163882,45.2,90119,24.8,125137,34.5,1721741.87,4.74,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,Academies and free schools,SEN description,Total,Total,Total,Total,Total,Total,Total,Any SEN,Total,Total,Total,Total,2435,53415,1888798.02,35.4,51547,96.5,10566,19.8,20521,38.4,8701,16.3,2805,5.3,4622,8.7,154047.7,2.88,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,Academies and free schools,Disadvantage,Total,Total,Total,Total,Total,Total,Total,Total,Disadvantaged,Total,Total,Total,2439,104065,4355447.49,41.9,102022,98,33082,31.8,56837,54.6,30389,29.2,10933,10.5,17978,17.3,367584.99,3.53,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,Academies and free schools,SEN status,Girls,Total,Total,Total,SEN Supp,Total,Total,Total,Total,Total,Total,Total,2248,18080,695537.13,38.5,17686,97.8,4274,23.6,7820,43.3,3751,20.7,1327,7.3,2104,11.6,56288.29,3.11,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,Academies and free schools,SEN status,Girls,Total,Total,Total,No SEN,Total,Total,Total,Total,Total,Total,Total,2321,184890,10323079.2,55.8,183912,99.5,109104,59,148075,80.1,92630,50.1,54348,29.4,73788,39.9,911074.71,4.93,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,Academies and free schools,Ethnic major,Total,MIXED,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,2336,21779,1132926.29,52,21539,98.9,11303,51.9,15786,72.5,10078,46.3,5445,25,7455,34.2,100244.81,4.6,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,Academies and free schools,SEN description,Girls,Total,Total,Total,Total,Total,Total,No identified SEN,Total,Total,Total,Total,2321,184890,10323079.2,55.8,183912,99.5,109104,59,148075,80.1,92630,50.1,54348,29.4,73788,39.9,911074.71,4.93,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,Academies and free schools,SEN status,Girls,Total,Total,Total,SEN State EHC,Total,Total,Total,Total,Total,Total,Total,1243,2183,58916.64,27,1882,86.2,274,12.6,518,23.7,195,8.9,77,3.5,105,4.8,4565.21,2.09,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,Academies and free schools,Admission type,Boys,Total,Total,Total,Total,Total,Total,Total,Total,Total,selective schools,Total,91,10866,790202.1,72.7,10856,99.9,10353,95.3,10825,99.6,8280,76.2,7011,64.5,7973,73.4,74822.09,6.89,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,Academies and free schools,Ethnic major,Girls,Unclassified,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,1041,2743,138179,50.4,2681,97.7,1327,48.4,1924,70.1,1199,43.7,597,21.8,867,31.6,12101.97,4.41,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,Academies and free schools,SEN status,Boys,Total,Total,Total,SEN Supp,Total,Total,Total,Total,Total,Total,Total,2267,27379,969492.25,35.4,26791,97.9,5254,19.2,10587,38.7,4267,15.6,1224,4.5,2135,7.8,79851.89,2.92,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,Academies and free schools,Ethnic major,Total,ASIAN,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,2025,43483,2440994.97,56.1,43160,99.3,26618,61.2,34339,79,24058,55.3,13893,32,18409,42.3,220653.08,5.07,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,Academies and free schools,SEN status,Total,Total,Total,Total,SEN Supp,Total,Total,Total,Total,Total,Total,Total,2428,45459,1665029.38,36.6,44477,97.8,9528,21,18407,40.5,8018,17.6,2551,5.6,4239,9.3,136140.18,2.99,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,Academies and free schools,First language,Girls,Total,Total,Total,Total,Total,Total,Total,Total,English,Total,Total,2319,172187,9276973.04,53.9,170967,99.3,95370,55.4,131765,76.5,77378,44.9,45395,26.4,61719,35.8,808749.53,4.7,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,Academies and free schools,Ethnic major,Boys,WHITE,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,2280,158992,7702256.36,48.4,157288,98.9,74434,46.8,110557,69.5,52484,33,25846,16.3,37682,23.7,668526.21,4.2,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,Academies and free schools,SEN description,Boys,Total,Total,Total,Total,Total,Total,Any SEN,Total,Total,Total,Total,2281,33152,1134344.25,34.2,31979,96.5,6018,18.2,12183,36.7,4755,14.3,1401,4.2,2413,7.3,93194.2,2.81,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,Academies and free schools,First language,Girls,Total,Total,Total,Total,Total,Total,Total,Total,Unclassified EAL,Total,Total,221,405,20076.63,49.6,394,97.3,188,46.4,273,67.4,188,46.4,86,21.2,120,29.6,1760.45,4.35,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,Academies and free schools,Ethnic major,Girls,MIXED,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,2045,10795,590762.15,54.7,10690,99,5995,55.5,8160,75.6,5633,52.2,3242,30,4367,40.5,52435.25,4.86,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,Academies and free schools,SEN status,Total,Total,Total,Total,SEN State EHC,Total,Total,Total,Total,Total,Total,Total,2080,7956,223768.64,28.1,7070,88.9,1038,13,2114,26.6,683,8.6,254,3.2,383,4.8,17907.52,2.25,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,Academies and free schools,First language,Boys,Total,Total,Total,Total,Total,Total,Total,Total,English,Total,Total,2290,176905,8665248.27,49,175184,99,84844,48,124717,70.5,60215,34,29926,16.9,43400,24.5,752864.47,4.26,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,Academies and free schools,SEN description,Boys,Total,Total,Total,Total,Total,Total,No identified SEN,Total,Total,Total,Total,2289,177997,9209551.49,51.7,176782,99.3,95012,53.4,135586,76.2,71252,40,35771,20.1,51349,28.8,810667.16,4.55,:,:,:,:,:
