col_name,col_type,label,indicator_grouping,indicator_unit,indicator_dp,filter_hint,filter_grouping_column
school_characteristic,Filter,The types of school in the data,,,,,
breakdown,Filter,The breakdown of the data being displayed,,,,,
characteristic_gender,Filter,Gender,,,,,
characteristic_ethnic_major,Filter,Major ethnic group,,,,,
characteristic_ethnic_minor,Filter,Minor ethnic group,,,,,
characteristic_free_school_meals,Filter,Free school meal eligibility,,,,,
Characteristic_sen_status,Filter,Special Educational Needs status,,,,,
Characteristic_primary_need,Filter,"All pupils with a primary need (from 2014/15 onwards this consisted of pupils flagged as SEN with a statement, EHC plan, SEN support, school action or school action plus)",,,,,
Characteristic_all_primary_need,Filter,Primary need grouping,,,,,
characteristic_sen_description,Filter,Special Educational Needs description,,,,,
characteristic_disadvantage,Filter,Disadvantaged status,,,,,
characteristic_first_language,Filter,English as an Additional Language status,,,,,
characteristic_admission_type,Filter,"Basis for admission into the school e.g. non-selective schools in other areas, selective schools",,,,,
characteristic_religious_denomination,Filter,Religious denomination of school,,,,,
t_schools,Indicator,Total number of schools,Total,,0,,
t_pupils,Indicator,Total number of pupils at the end of key stage 4,Total,,0,,
t_att8,Indicator,Total sum of pupils Attainment 8 scores,Total,,2,,
avg_att8,Indicator,Average Attainment 8 score of all pupils ,Average,,1,,
t_entbasics,Indicator,Total number of pupils entering English and mathematics GCSEs,Total,,0,,
pt_entbasics,Indicator,Percentage of pupils entering English and mathematics GCSEs,Percentage,%,1,,
t_l2basics_95,Indicator,Total number of pupils achieving grades 5 or above in English and mathematics GCSEs,Total,,0,,
pt_l2basics_95,Indicator,Percentage of pupils achieving grades 5 or above in English and mathematics GCSEs,Percentage,%,1,,
t_l2basics_94,Indicator,Total number of pupils achieving grades 4 or above in English and mathematics GCSEs,Total,,0,,
pt_l2basics_94,Indicator,Percentage of pupils achieving grades 4 or above in English and mathematics GCSEs,Percentage,%,1,,
t_ebacc_e_ptq_ee,Indicator,Total number of pupils entering the English Baccalaureate,Total,,0,,
pt_ebacc_e_ptq_ee,Indicator,Percentage number of pupils entering the English Baccalaureate,Percentage,%,1,,
t_ebacc_95,Indicator,"Total number of pupils achieving the English Baccalaureate (grades 5 or above in English and maths, A*-C in unreformed subjects)",Total,,0,,
pt_ebacc_95,Indicator,"Percentage of pupils achieving the English Baccalaureate (grades 5 or above in English and maths, A*-C in unreformed subjects)",Percentage,%,1,,
t_ebacc_94,Indicator,"Total number of pupils achieving the English Baccalaureate (grades 4 or above in English and maths, A*-C in unreformed subjects)",Total,,0,,
pt_ebacc_94,Indicator,"Percentage of pupils achieving the English Baccalaureate (grades 4 or above in English and maths, A*-C in unreformed subjects)",Percentage,%,1,,
t_ebaccaps,Indicator,Total EBacc APS score of pupils,Total,,2,,
avg_ebaccaps,Indicator,Average EBacc APS score per pupil,Average,,2,,
t_inp8calc,Indicator,Total number of pupils included in Progress 8 measure,Total,,0,,
t_p8score,Indicator,Total sum of pupils Progress 8 scores,Total,,3,,
avg_p8score,Indicator,Average Progress 8 score of all pupils,Average,,2,,
p8score_CI_low,Indicator,Progress 8 lower 95% confidence interval,Lower bound,,2,,
p8score_CI_upp,Indicator,Progress 8 upper 95% confidence interval,Upper bound,,2,,
